source,page,section,article,category,content
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,1,,Điều 1,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 1]
BỘ GIÁO DỤC VÀ ĐÀO TẠO CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
ĐẠI HỌC BÁCH KHOA HÀ NỘI Độc lập - Tự do - Hạnh phúc
Số: /QĐ-ĐHBK Hà Nội, ngày tháng năm 2025
QUYẾT ĐỊNH
Ban hành Quy định về phân loại trình độ đầu vào, chương trình ngoại ngữ cơ bản
và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hình thức chính quy
GIÁM ĐỐC ĐẠI HỌC BÁCH KHOA HÀ NỘI
Căn cứ Luật Giáo dục đại học ngày 18 tháng 6 năm 2012 và Luật sửa đổi,
bổ sung một số điều của Luật Giáo dục đại học ngày 19 tháng 11 năm 2018;
Căn cứ Nghị định số 99/2019/NĐ-CP ngày 30 tháng 12 năm 2019 của Chính phủ
về việc Quy định chi tiết và hướng dẫn thi hành một số điều của Luật sửa đổi, bổ sung một
số điều của Luật Giáo dục đại học;
Căn cứ Thông tư số 01/2014/TT-BGDĐT ngày 24 tháng 01 năm 2014 của Bộ trưởng
Bộ Giáo dục và Đạo tạo về ban hành khung năng lực ngoại ngữ 6 bậc dùng cho Việt"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,1,,Điều 1,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 1]
về việc Quy định chi tiết và hướng dẫn thi hành một số điều của Luật sửa đổi, bổ sung một
số điều của Luật Giáo dục đại học;
Căn cứ Thông tư số 01/2014/TT-BGDĐT ngày 24 tháng 01 năm 2014 của Bộ trưởng
Bộ Giáo dục và Đạo tạo về ban hành khung năng lực ngoại ngữ 6 bậc dùng cho Việt
Nam;
Căn cứ Quy chế Tổ chức và hoạt động của Đại học Bách khoa Hà Nội do Hội đồng
đại học ban hành theo Nghị quyết số 40/NQ-ĐHBK ngày 02 tháng 12 năm 2024;
Căn cứ Quy chế đào tạo của Đại học Bách khoa Hà Nội do Giám đốc đại học ban
hành theo Quyết định số 5445/QĐ-ĐHBK ngày 28 tháng 5 năm 2025;
Căn cứ Quyết định số 126/QĐ-ĐHBK ngày 07 tháng 01 năm 2025 của Giám đốc
đại học ban hành bảng quy đổi tương đương các chứng chỉ ngoại ngữ của Đại học Bách
khoa Hà Nội ;
Căn cứ Tờ trình số 106/TTr-ĐT ngày 12 tháng 9 năm 2025 của Ban Đào tạo và"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,1,,Điều 1,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 1 | Điều 1]
Căn cứ Quyết định số 126/QĐ-ĐHBK ngày 07 tháng 01 năm 2025 của Giám đốc
đại học ban hành bảng quy đổi tương đương các chứng chỉ ngoại ngữ của Đại học Bách
khoa Hà Nội ;
Căn cứ Tờ trình số 106/TTr-ĐT ngày 12 tháng 9 năm 2025 của Ban Đào tạo và
Khoa Ngoại ngữ về việc xin ý kiến phê duyệt Dự thảo quy định ngoại ngữ đối với sinh
viên chính quy từ khóa 70;
Theo đề nghị của Trưởng ban Ban Đào tạo.
QUYẾT ĐỊNH:
Điều 1. Ban hành kèm theo Quyết định này Quy định về phân loại trình độ đầu vào,
chương trình ngoại ngữ cơ bản và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hình
thức chính quy của Đại học Bách khoa Hà Nội.
Điều 2. Các Ông, Bà Trưởng ban Ban Đào tạo, Trưởng khoa Ngoại ngữ, Giám đốc
Trung tâm Khảo thí ngoại ngữ và Trao đổi văn hóa, trưởng các đơn vị và cá nhân có liên
quan chịu trách nhiệm thi hành Quyết định này./."
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,1,,Điều 1,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 1 | Điều 2]
thức chính quy của Đại học Bách khoa Hà Nội.
Điều 2. Các Ông, Bà Trưởng ban Ban Đào tạo, Trưởng khoa Ngoại ngữ, Giám đốc
Trung tâm Khảo thí ngoại ngữ và Trao đổi văn hóa, trưởng các đơn vị và cá nhân có liên
quan chịu trách nhiệm thi hành Quyết định này./.
Nơi nhận: KT. GIÁM ĐỐC
- Như Điều 2, PHÓ GIÁM ĐỐC
- Lưu: VT, ĐT.
PGS.TS. Nguyễn Phong Điền"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,2,,Điều 1,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 2 | Điều 1]
BỘ GIÁO DỤC VÀ ĐÀO TẠO CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM
ĐẠI HỌC BÁCH KHOA HÀ NỘI Độc lập - Tự do - Hạnh phúc
QUY ĐỊNH
Phân loại trình độ đầu vào, chương trình ngoại ngữ cơ bản
và chuẩn ngoại ngữ yêu cầu đối với sinh viên đại học hình thức chính quy
(Kèm theo Quyết định số /QĐ-ĐHBK ngày tháng năm 2025
của Giám đốc Đại học Bách khoa Hà Nội)
Điều 1. Phạm vi điều chỉnh và đối tượng áp dụng
1. Quy định này điều chỉnh việc đánh giá và phân loại trình độ ngoại ngữ đầu vào,
chương trình ngoại ngữ cơ bản (NNCB), điều kiện miễn học các học phần NNCB, yêu
cầu năng lực ngoại ngữ theo từng học kỳ và chuẩn ngoại ngữ đầu ra đối với sinh viên đại
học hình thức chính quy; việc xác định bậc năng lực ngoại ngữ tuân theo Khung năng lực
ngoại ngữ 6 bậc dùng cho Việt Nam.
2. Quy định này áp dụng đối với sinh viên theo học các chương trình đào tạo (CTĐT)"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,2,,Điều 1,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 2 | Điều 2]
cầu năng lực ngoại ngữ theo từng học kỳ và chuẩn ngoại ngữ đầu ra đối với sinh viên đại
học hình thức chính quy; việc xác định bậc năng lực ngoại ngữ tuân theo Khung năng lực
ngoại ngữ 6 bậc dùng cho Việt Nam.
2. Quy định này áp dụng đối với sinh viên theo học các chương trình đào tạo (CTĐT)
hình thức chính quy của Đại học Bách khoa Hà Nội; chi tiết yêu cầu đối với từng chương
trình/nhóm chương trình được quy định tại các Phụ lục tương ứng.
3. Quy định này không áp dụng cho sinh viên là người nước ngoài theo học CTĐT
có ngôn ngữ giảng dạy chính là tiếng Việt; đối với sinh viên là người nước ngoài theo
học các CTĐT có ngôn ngữ giảng dạy khác tiếng Việt, việc xét miễn/áp dụng NNCB
thực hiện theo nguyên tắc tương đương năng lực và Phụ lục của Quy định này.
Điều 2. Phân loại trình độ đầu vào và phân lớp học ngoại ngữ cơ bản"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,2,,Điều 1,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 2 | Điều 2]
học các CTĐT có ngôn ngữ giảng dạy khác tiếng Việt, việc xét miễn/áp dụng NNCB
thực hiện theo nguyên tắc tương đương năng lực và Phụ lục của Quy định này.
Điều 2. Phân loại trình độ đầu vào và phân lớp học ngoại ngữ cơ bản
1. Căn cứ phân loại trình độ ngoại ngữ đầu vào với sinh viên thuộc CTĐT có yêu
cầu chuẩn đầu ra là tiếng Anh dựa trên một hoặc nhiều tiêu chí, bao gồm:
- Dựa trên kết quả kiểm tra tiếng Anh đầu khóa;
- Hoặc dựa trên chứng chỉ tiếng Anh quốc gia, quốc tế;
- Hoặc dựa trên điểm thi môn tiếng Anh của kỳ thi tốt nghiệp trung học phổ thông
(THPT) tại năm nhập học.
Việc lựa chọn tiêu chí phân loại trong số các tiêu chí trên do Giám đốc Đại học
Bách khoa Hà Nội quyết định theo từng khóa tuyển sinh.
2. Căn cứ phân loại trình độ ngoại ngữ đầu vào với sinh viên thuộc CTĐT có yêu"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,2,,Điều 1,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 2]
(THPT) tại năm nhập học.
Việc lựa chọn tiêu chí phân loại trong số các tiêu chí trên do Giám đốc Đại học
Bách khoa Hà Nội quyết định theo từng khóa tuyển sinh.
2. Căn cứ phân loại trình độ ngoại ngữ đầu vào với sinh viên thuộc CTĐT có yêu
cầu chuẩn đầu ra là ngoại ngữ khác tiếng Anh: dựa trên chứng chỉ quốc tế của ngôn ngữ
tương ứng.
3. Căn cứ kết quả phân loại đầu vào, sinh viên được xét miễn học các học phần
NNCB theo quy định tại các Phụ lục tương ứng kèm theo Quy định này và được xếp vào
lớp học NNCB phù hợp."
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,3,,khoản 1,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 3 | Điều 3]
4. Sinh viên không đáp ứng điều kiện phân loại trình độ ngoại ngữ theo khoản 1
hoặc khoản 2 Điều này sẽ được xếp học từ học phần đầu tiên của khối NNCB tương ứng
của từng CTĐT.
Điều 3. Công nhận, xét miễn học phần ngoại ngữ cơ bản
1. Các học phần NNCB của các CTĐT được xếp vào khối kiến thức ngoại ngữ bổ
trợ tăng cường và không tính tín chỉ trong CTĐT chính khóa. Danh sách các học phần
NNCB của các CTĐT được quy định tại các Phụ lục tương ứng kèm theo Quy định này.
2. Trong quá trình học tập, nếu sinh viên đạt được chứng chỉ ngoại ngữ theo quy
định sẽ được xét miễn các học phần NNCB tương ứng với trình độ đạt được. Kết quả
miễn học được ghi bằng ký hiệu “R” trong dữ liệu học tập và có giá trị toàn khóa kể từ
ngày nhập điểm R.
3. Chứng chỉ ngoại ngữ để xét miễn học phần NNCB phải còn hạn theo quy định"
06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf,3,,khoản 1,,"[Tài liệu: 06_ Quy định ngoại ngữ từ K70_chính quy_final.pdf | trang 3 | Điều 4]
định sẽ được xét miễn các học phần NNCB tương ứng với trình độ đạt được. Kết quả
miễn học được ghi bằng ký hiệu “R” trong dữ liệu học tập và có giá trị toàn khóa kể từ
ngày nhập điểm R.
3. Chứng chỉ ngoại ngữ để xét miễn học phần NNCB phải còn hạn theo quy định
tính tới thời điểm nộp đơn xét miễn. Danh mục chứng chỉ và học phần NNCB được miễn
tương ứng được quy định tại các Phụ lục tương ứng kèm theo Quy định này.
4. Các chứng chỉ ngoại ngữ quốc gia, quốc tế phải được thẩm định nguồn gốc và
cập nhật mức điểm lên hệ thống phần mềm quản lý đào tạo trước thời điểm nộp đơn đề
nghị xét miễn học phần NNCB.
5. Thời gian tiếp nhận đơn đề nghị xét miễn học phần NNCB muộn nhất là 2 tuần
trước khi bắt đầu học kỳ theo Khung kế hoạch năm học.
Điều 4. Lộ trình học tập các học phần ngoại ngữ cơ bản"
